Domain                                       | CNAME                                                                           | IPs                                             | Port80 | Port443 | 80->443 | HTTPS_200 | Page          | Cloudflare
---------------------------------------------+---------------------------------------------------------------------------------+-------------------------------------------------+--------+---------+---------+-----------+---------------+-----------
airudder-komodo.kredifazz.id                 | airudder-komodo.kredifazz.id.cdn.cloudflare.net                                 | 104.18.28.95,104.18.29.95                       | open   | open    | no      | no        | 403 Forbidden | yes       
api-pl.kredifazz.id                          | api-pl.kredifazz.id.cdn.cloudflare.net                                          | 104.18.28.95,104.18.29.95                       | open   | open    | yes     | no        | 404 Not Found | yes       
api.kredifazz.id                             | api.kredifazz.id.cdn.cloudflare.net                                             | 104.18.28.95,104.18.29.95                       | open   | open    | no      | no        | 404 Not Found | yes       
arena-pre-release.kredifazz.id               | arena-pre-release.kredifazz.id.cdn.cloudflare.net                               | 104.18.28.95,104.18.29.95                       | open   | open    | no      | no        | no-response   | yes       
assets.kredifazz.id                          | d69ebgd2tkdts.cloudfront.net                                                    | 13.35.37.12,13.35.37.15,13.35.37.26,13.35.37.28 | open   | open    | yes     | no        | 403 Forbidden | no        
atlantis-aws-fdi.kredifazz.id                | atlantis-aws-fdi.kredifazz.id.cdn.cloudflare.net                                | 104.18.28.95,104.18.29.95                       | open   | open    | no      | no        | 403 Forbidden | yes       
cow-atlassian.kredifazz.id                   | cow-atlassian.kredifazz.id.cdn.cloudflare.net                                   | 104.18.28.95,104.18.29.95                       | open   | open    | no      | yes       | 200 OK        | yes       
disbursement-public.kredifazz.id             | disbursement-public.kredifazz.id.cdn.cloudflare.net                             | 104.18.28.95,104.18.29.95                       | open   | open    | yes     | no        | 403 Forbidden | yes       
dragon.kredifazz.id                          | dragon.kredifazz.id.cdn.cloudflare.net                                          | 104.18.28.95,104.18.29.95                       | open   | open    | yes     | yes       | 200 OK        | yes       
eagle-afpi-v4.kredifazz.id                   | -                                                                               | 149.129.195.79                                  | open   | open    | no      | no        | -             | no        
eagle-afpi.kredifazz.id                      | -                                                                               | 149.129.195.79                                  | open   | open    | no      | no        | -             | no        
eagle-pefindo-proxy.kredifazz.id             | -                                                                               | 10.34.9.76,104.18.29.95                         | open   | open    | no      | no        | no-response   | yes       
eagle.kredifazz.id                           | -                                                                               | 182.253.222.206                                 | closed | closed  | no      | no        | -             | no        
ftps-sampoerna.kredifazz.id                  | -                                                                               | 149.129.248.181                                 | closed | closed  | no      | no        | -             | no        
kdi-krfz-vpn-ca-production.kredifazz.id      | kdi-krfz-nlb-pritunl-ca-677babdf06e11ccc.elb.ap-southeast-3.amazonaws.com       | 108.136.199.119,108.136.255.13,16.79.154.163    | closed | open    | no      | no        | other-302     | no        
kdi-krfz-vpn-cs-production.kredifazz.id      | kdi-krfz-nlb-pritunl-cs-40b827b582f4c8c5.elb.ap-southeast-3.amazonaws.com       | 16.78.211.16,16.79.86.161,43.218.63.62          | closed | open    | no      | no        | other-302     | no        
